hour	channel	value	hour_text	channel_text	programs
16	8	301	17 Sep 2015 14:00 UTC	KCBS	This Morning
16	9	0	17 Sep 2015 14:00 UTC	KMEX	None
16	10	239	17 Sep 2015 14:00 UTC	KNBC	Today Show
16	11	0	17 Sep 2015 14:00 UTC	KTTV-FOX	None
16	12	331	17 Sep 2015 14:00 UTC	MSNBC	The Rundown with Jose Diaz-Balart
16	13	0	17 Sep 2015 14:00 UTC	Spain	None
16	14	0	17 Sep 2015 14:00 UTC	WEWS	None
16	15	0	17 Sep 2015 14:00 UTC	WKYC	None
16	16	0	17 Sep 2015 14:00 UTC	WUAB	None
16	17	0	17 Sep 2015 14:00 UTC	World	None
17	1	0	17 Sep 2015 15:00 UTC	AlJazeera	None
17	2	362	17 Sep 2015 15:00 UTC	CNN	This Hour With Berman and Michaela
17	3	291	17 Sep 2015 15:00 UTC	FOX-News	Happening Now
17	4	0	17 Sep 2015 15:00 UTC	France	None
17	5	318	17 Sep 2015 15:00 UTC	HLN	HLN Morning Express
17	6	0	17 Sep 2015 15:00 UTC	KABC	None
17	7	0	17 Sep 2015 15:00 UTC	KCAL	None
17	8	230	17 Sep 2015 15:00 UTC	KCBS	This Morning
17	9	0	17 Sep 2015 15:00 UTC	KMEX	None
17	10	0	17 Sep 2015 15:00 UTC	KNBC	None
17	11	0	17 Sep 2015 15:00 UTC	KTTV-FOX	None
17	12	0	17 Sep 2015 15:00 UTC	MSNBC	None
17	13	0	17 Sep 2015 15:00 UTC	Spain	None
17	14	0	17 Sep 2015 15:00 UTC	WEWS	None
17	15	0	17 Sep 2015 15:00 UTC	WKYC	None
17	16	0	17 Sep 2015 15:00 UTC	WUAB	None
17	17	0	17 Sep 2015 15:00 UTC	World	None
18	1	0	17 Sep 2015 16:00 UTC	AlJazeera	None
18	2	291	17 Sep 2015 16:00 UTC	CNN	Legal View With Ashleigh Banfield
18	3	0	17 Sep 2015 16:00 UTC	FOX-News	None
18	4	0	17 Sep 2015 16:00 UTC	France	None
18	5	244	17 Sep 2015 16:00 UTC	HLN	The Daily Share
18	6	0	17 Sep 2015 16:00 UTC	KABC	None
18	7	0	17 Sep 2015 16:00 UTC	KCAL	None
18	8	0	17 Sep 2015 16:00 UTC	KCBS	None
18	9	0	17 Sep 2015 16:00 UTC	KMEX	None
18	10	134	17 Sep 2015 16:00 UTC	KNBC	Today Show
18	11	0	17 Sep 2015 16:00 UTC	KTTV-FOX	None
18	12	0	17 Sep 2015 16:00 UTC	MSNBC	None
18	13	0	17 Sep 2015 16:00 UTC	Spain	None
18	14	0	17 Sep 2015 16:00 UTC	WEWS	None
18	15	0	17 Sep 2015 16:00 UTC	WKYC	None
18	16	0	17 Sep 2015 16:00 UTC	WUAB	None
18	17	369	17 Sep 2015 16:00 UTC	World	Democracy Now
19	1	0	17 Sep 2015 17:00 UTC	AlJazeera	None
19	2	337	17 Sep 2015 17:00 UTC	CNN	Wolf
19	3	232	17 Sep 2015 17:00 UTC	FOX-News	Happening Now
19	4	0	17 Sep 2015 17:00 UTC	France	None
19	5	0	17 Sep 2015 17:00 UTC	HLN	None
19	6	0	17 Sep 2015 17:00 UTC	KABC	None
19	7	0	17 Sep 2015 17:00 UTC	KCAL	None
19	8	0	17 Sep 2015 17:00 UTC	KCBS	None
19	9	0	17 Sep 2015 17:00 UTC	KMEX	None
19	10	0	17 Sep 2015 17:00 UTC	KNBC	None
19	11	0	17 Sep 2015 17:00 UTC	KTTV-FOX	None
19	12	378	17 Sep 2015 17:00 UTC	MSNBC	MSNBC Live with Thomas Roberts
19	13	0	17 Sep 2015 17:00 UTC	Spain	None
19	14	0	17 Sep 2015 17:00 UTC	WEWS	None
19	15	0	17 Sep 2015 17:00 UTC	WKYC	None
19	16	0	17 Sep 2015 17:00 UTC	WUAB	None
19	17	0	17 Sep 2015 17:00 UTC	World	None
20	1	0	17 Sep 2015 18:00 UTC	AlJazeera	None
20	2	306	17 Sep 2015 18:00 UTC	CNN	Newsroom
20	3	0	17 Sep 2015 18:00 UTC	FOX-News	None
20	4	0	17 Sep 2015 18:00 UTC	France	None
20	5	0	17 Sep 2015 18:00 UTC	HLN	None
20	6	184	17 Sep 2015 18:00 UTC	KABC	Eyewitness News 11AM
20	7	0	17 Sep 2015 18:00 UTC	KCAL	None
20	8	0	17 Sep 2015 18:00 UTC	KCBS	None
20	9	0	17 Sep 2015 18:00 UTC	KMEX	None
20	10	0	17 Sep 2015 18:00 UTC	KNBC	None
20	11	0	17 Sep 2015 18:00 UTC	KTTV-FOX	None
20	12	378	17 Sep 2015 18:00 UTC	MSNBC	MSNBC Live with Thomas Roberts
20	13	0	17 Sep 2015 18:00 UTC	Spain	None
20	14	0	17 Sep 2015 18:00 UTC	WEWS	None
20	15	0	17 Sep 2015 18:00 UTC	WKYC	None
20	16	0	17 Sep 2015 18:00 UTC	WUAB	None
20	17	0	17 Sep 2015 18:00 UTC	World	None
21	1	0	17 Sep 2015 19:00 UTC	AlJazeera	None
21	2	259	17 Sep 2015 19:00 UTC	CNN	Newsroom
21	3	280	17 Sep 2015 19:00 UTC	FOX-News	Shephard Smith Reporting
21	4	0	17 Sep 2015 19:00 UTC	France	None
21	5	0	17 Sep 2015 19:00 UTC	HLN	None
21	6	0	17 Sep 2015 19:00 UTC	KABC	None
21	7	0	17 Sep 2015 19:00 UTC	KCAL	None
21	8	0	17 Sep 2015 19:00 UTC	KCBS	None
21	9	0	17 Sep 2015 19:00 UTC	KMEX	None
21	10	0	17 Sep 2015 19:00 UTC	KNBC	None
21	11	0	17 Sep 2015 19:00 UTC	KTTV-FOX	None
21	12	0	17 Sep 2015 19:00 UTC	MSNBC	None
21	13	0	17 Sep 2015 19:00 UTC	Spain	None
21	14	0	17 Sep 2015 19:00 UTC	WEWS	None
21	15	0	17 Sep 2015 19:00 UTC	WKYC	None
21	16	0	17 Sep 2015 19:00 UTC	WUAB	None
21	17	0	17 Sep 2015 19:00 UTC	World	None
22	1	0	17 Sep 2015 20:00 UTC	AlJazeera	None
22	2	400	17 Sep 2015 20:00 UTC	CNN	The Lead With Jake Tapper
22	3	0	17 Sep 2015 20:00 UTC	FOX-News	None
22	4	0	17 Sep 2015 20:00 UTC	France	None
22	5	0	17 Sep 2015 20:00 UTC	HLN	None
22	6	0	17 Sep 2015 20:00 UTC	KABC	None
22	7	0	17 Sep 2015 20:00 UTC	KCAL	None
22	8	0	17 Sep 2015 20:00 UTC	KCBS	None
22	9	0	17 Sep 2015 20:00 UTC	KMEX	None
22	10	0	17 Sep 2015 20:00 UTC	KNBC	None
22	11	0	17 Sep 2015 20:00 UTC	KTTV-FOX	None
22	12	0	17 Sep 2015 20:00 UTC	MSNBC	None
22	13	0	17 Sep 2015 20:00 UTC	Spain	None
22	14	0	17 Sep 2015 20:00 UTC	WEWS	None
22	15	0	17 Sep 2015 20:00 UTC	WKYC	None
22	16	0	17 Sep 2015 20:00 UTC	WUAB	None
22	17	0	17 Sep 2015 20:00 UTC	World	None
23	1	0	17 Sep 2015 21:00 UTC	AlJazeera	None
23	2	308	17 Sep 2015 21:00 UTC	CNN	Situation Room
23	3	0	17 Sep 2015 21:00 UTC	FOX-News	None
23	4	0	17 Sep 2015 21:00 UTC	France	None
23	5	0	17 Sep 2015 21:00 UTC	HLN	None
23	6	0	17 Sep 2015 21:00 UTC	KABC	None
23	7	0	17 Sep 2015 21:00 UTC	KCAL	None
23	8	0	17 Sep 2015 21:00 UTC	KCBS	None
23	9	0	17 Sep 2015 21:00 UTC	KMEX	None
23	10	186	17 Sep 2015 21:00 UTC	KNBC	Access Hollywood Live
23	11	0	17 Sep 2015 21:00 UTC	KTTV-FOX	None
23	12	357	17 Sep 2015 21:00 UTC	MSNBC	MSNBC Live
23	13	0	17 Sep 2015 21:00 UTC	Spain	None
23	14	250	17 Sep 2015 21:00 UTC	WEWS	Live on 5
23	15	0	17 Sep 2015 21:00 UTC	WKYC	None
23	16	0	17 Sep 2015 21:00 UTC	WUAB	None
23	17	0	17 Sep 2015 21:00 UTC	World	None
24	1	123	17 Sep 2015 22:00 UTC	AlJazeera	TechKnow
24	2	282	17 Sep 2015 22:00 UTC	CNN	Situation Room
24	3	323	17 Sep 2015 22:00 UTC	FOX-News	Special Report with Bret Baier
24	4	0	17 Sep 2015 22:00 UTC	France	None
24	5	0	17 Sep 2015 22:00 UTC	HLN	None
24	6	0	17 Sep 2015 22:00 UTC	KABC	None
24	7	0	17 Sep 2015 22:00 UTC	KCAL	None
24	8	0	17 Sep 2015 22:00 UTC	KCBS	None
24	9	0	17 Sep 2015 22:00 UTC	KMEX	None
24	10	0	17 Sep 2015 22:00 UTC	KNBC	None
24	11	0	17 Sep 2015 22:00 UTC	KTTV-FOX	None
24	12	282	17 Sep 2015 22:00 UTC	MSNBC	Politics Nation With Al Sharpton
24	13	0	17 Sep 2015 22:00 UTC	Spain	None
24	14	0	17 Sep 2015 22:00 UTC	WEWS	None
24	15	0	17 Sep 2015 22:00 UTC	WKYC	None
24	16	0	17 Sep 2015 22:00 UTC	WUAB	None
24	17	0	17 Sep 2015 22:00 UTC	World	None
25	1	0	17 Sep 2015 23:00 UTC	AlJazeera	None
25	2	308	17 Sep 2015 23:00 UTC	CNN	Erin Burnett Out Front
25	3	322	17 Sep 2015 23:00 UTC	FOX-News	On the Record with Greta Van Susteren
25	4	0	17 Sep 2015 23:00 UTC	France	None
25	5	0	17 Sep 2015 23:00 UTC	HLN	None
25	6	0	17 Sep 2015 23:00 UTC	KABC	None
25	7	228	17 Sep 2015 23:00 UTC	KCAL	KCAL 9 News at 4PM
25	8	0	17 Sep 2015 23:00 UTC	KCBS	None
25	9	0	17 Sep 2015 23:00 UTC	KMEX	None
25	10	0	17 Sep 2015 23:00 UTC	KNBC	None
25	11	0	17 Sep 2015 23:00 UTC	KTTV-FOX	None
25	12	390	17 Sep 2015 23:00 UTC	MSNBC	Hardball with Chris Matthews
25	13	0	17 Sep 2015 23:00 UTC	Spain	None
25	14	0	17 Sep 2015 23:00 UTC	WEWS	None
25	15	0	17 Sep 2015 23:00 UTC	WKYC	None
25	16	0	17 Sep 2015 23:00 UTC	WUAB	None
25	17	209	17 Sep 2015 23:00 UTC	World	Deutsche Welle Journal
26	1	0	18 Sep 2015 00:00 UTC	AlJazeera	None
26	2	278	18 Sep 2015 00:00 UTC	CNN	Anderson Cooper 360
26	3	267	18 Sep 2015 00:00 UTC	FOX-News	The OReilly Factor
26	4	0	18 Sep 2015 00:00 UTC	France	None
26	5	0	18 Sep 2015 00:00 UTC	HLN	None
26	6	0	18 Sep 2015 00:00 UTC	KABC	None
26	7	0	18 Sep 2015 00:00 UTC	KCAL	None
26	8	0	18 Sep 2015 00:00 UTC	KCBS	None
26	9	0	18 Sep 2015 00:00 UTC	KMEX	None
26	10	0	18 Sep 2015 00:00 UTC	KNBC	None
26	11	0	18 Sep 2015 00:00 UTC	KTTV-FOX	None
26	12	277	18 Sep 2015 00:00 UTC	MSNBC	All In With Chris Hayes
