hour	channel	value	hour_text	channel_text	programs
24	14	75	17 Sep 2015 22:00 UTC	WEWS	NewsChannel 5 at 6pm
24	15	0	17 Sep 2015 22:00 UTC	WKYC	None
24	16	0	17 Sep 2015 22:00 UTC	WUAB	None
24	17	0	17 Sep 2015 22:00 UTC	World	None
25	1	0	17 Sep 2015 23:00 UTC	AlJazeera	None
25	2	217	17 Sep 2015 23:00 UTC	CNN	Erin Burnett Out Front
25	3	227	17 Sep 2015 23:00 UTC	FOX-News	On the Record with Greta Van Susteren
25	4	0	17 Sep 2015 23:00 UTC	France	None
25	5	0	17 Sep 2015 23:00 UTC	HLN	None
25	6	126	17 Sep 2015 23:00 UTC	KABC	Eyewitness News 4PM
25	7	162	17 Sep 2015 23:00 UTC	KCAL	KCAL 9 News at 4PM
25	8	0	17 Sep 2015 23:00 UTC	KCBS	None
25	9	0	17 Sep 2015 23:00 UTC	KMEX	None
25	10	86	17 Sep 2015 23:00 UTC	KNBC	The Ellen DeGeneres Show
25	11	0	17 Sep 2015 23:00 UTC	KTTV-FOX	None
25	12	248	17 Sep 2015 23:00 UTC	MSNBC	Hardball with Chris Matthews
25	13	0	17 Sep 2015 23:00 UTC	Spain	None
25	14	0	17 Sep 2015 23:00 UTC	WEWS	None
25	15	52	17 Sep 2015 23:00 UTC	WKYC	Channel 3 News at 7
25	16	0	17 Sep 2015 23:00 UTC	WUAB	None
25	17	228	17 Sep 2015 23:00 UTC	World	France 24, Deutsche Welle Journal
26	1	81	18 Sep 2015 00:00 UTC	AlJazeera	News
26	2	198	18 Sep 2015 00:00 UTC	CNN	Anderson Cooper 360
